year,quarter,generated_hydro,generated_wind_solar,generated_wind_solar_onshore,generated_of_which_offshore,generated_bioenergy,generated_renewable,generated_non_renewable,generated_total
2010,1,0.84,2.43,1.7600000000000002,0.67,2.97,6.240000000000009,101.94,108.18
2010,2,0.65,1.67,1.21,0.46,2.93,5.250000000000014,81.25999999999999,86.51
2010,3,0.86,2.77,1.94,0.83,3.13,6.759999999999991,76.12,82.88
2010,4,1.24,3.45,2.35,1.1,3.24,7.929999999999993,96.57000000000001,104.5
2011,1,1.3,3.41,2.41,1.0,3.36,8.069999999999993,95.30000000000001,103.37
2011,2,1.14,3.69,2.56,1.13,3.16,7.989999999999995,77.08,85.07
2011,3,1.23,3.12,2.02,1.1,3.35,7.700000000000003,75.72,83.42
2011,4,2.02,5.99,4.07,1.92,3.45,11.459999999999994,84.67,96.13
2012,1,1.83,5.25,3.74,1.51,3.93,11.010000000000005,88.89,99.9
2012,2,0.8,4.33,2.68,1.65,3.01,8.14,77.19,85.33
2012,3,1.05,4.91,3.2,1.71,3.54,9.5,71.94,81.44
2012,4,1.64,6.71,3.9699999999999998,2.74,4.26,12.61,84.6,97.21
2013,1,1.25,6.92,4.1,2.82,4.14,12.310000000000002,89.06,101.37
2013,2,0.97,7.19,4.5600000000000005,2.63,5.06,13.219999999999999,70.51,83.73
2013,3,0.74,5.59,3.61,1.98,4.46,10.789999999999992,68.71000000000001,79.5
2013,4,1.74,10.71,6.680000000000001,4.03,4.44,16.889999999999986,76.79000000000002,93.68
2014,1,2.24,11.52,7.14,4.38,4.57,18.33,75.15,93.48
2014,2,1.11,6.6,4.51,2.09,5.45,13.159999999999997,65.5,78.66
2014,3,0.78,6.69,4.45,2.24,5.91,13.379999999999995,62.74000000000001,76.12
2014,4,1.75,11.2,6.509999999999999,4.69,6.69,19.64,70.19,89.83
2015,1,2.01,12.78,8.1,4.68,6.96,21.75,73.79,95.54
2015,2,1.43,11.44,7.859999999999999,3.58,7.02,19.89,58.629999999999995,78.52
2015,3,1.03,9.92,6.51,3.41,7.06,18.010000000000005,58.31999999999999,76.33
2015,4,1.83,13.68,7.92,5.76,8.22,23.730000000000004,64.75,88.48
2016,1,2.17,12.99,7.84,5.15,8.53,23.689999999999998,68.53,92.22
2016,2,0.98,11.12,7.869999999999999,3.25,7.71,19.81000000000001,58.20999999999999,78.02
2016,3,1.2,11.93,8.35,3.58,6.22,19.35,56.699999999999996,76.05
2016,4,1.26,11.63,7.210000000000001,4.42,7.61,20.5,72.51,93.01
2017,1,1.9,14.5,9.33,5.17,8.92,25.320000000000007,68.47,93.79
2017,2,0.91,14.8,10.81,3.99,7.84,23.549999999999997,53.53,77.08
2017,3,1.32,13.59,9.629999999999999,3.96,7.78,22.689999999999998,52.91,75.6
2017,4,1.8,18.64,10.8,7.84,7.33,27.769999999999996,64.41000000000001,92.18
2018,1,1.39,19.39,11.420000000000002,7.97,7.46,28.239999999999995,64.89,93.13
2018,2,0.87,14.85,10.1,4.75,8.53,24.250000000000007,52.29999999999999,76.55
